"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"146","GALNTL6",442117,"ENSG00000174473","Neuronal",0.948,0.665,3.41677435781946,0.886,0.772,0,0
"147","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.299,2.52442059277619,0.654,0.308,1.02421567827928e-249,5.14985885195602e-245
"148","GDA",9615,"ENSG00000119125","Neuronal",0.825,0.448,2.51394892874227,0.826,0.652,0,0
"149","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.25,3.04342030179336,0.645,0.29,5.82996724137833e-310,2.93136582863744e-305
"150","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.285,3.88702131694585,0.664,0.328,0,0
"151","GLRA3",8001,"ENSG00000145451","Neuronal",0.595,0.217,3.03782939797612,0.734,0.468,0,0
"152","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.229,3.30425689519255,0.744,0.488,0,0
"153","GPR22",2845,"ENSG00000172209, ENSG00000283812","Neuronal",0.726,0.054,2.55504978538283,0.841,0.682,0,0
"154","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.171,3.6627202666387,0.781,0.562,0,0
"155","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.189,3.1177893412173,0.685,0.37,0,0
"156","GRIA1",2890,"ENSG00000155511","Neuronal",0.993,0.382,2.81843962848932,0.966,0.932,0,0
"157","GRIN2A",2903,"ENSG00000183454","Neuronal",0.956,0.536,2.55524131252313,0.918,0.836,0,0
"158","GRIN2B",2904,"ENSG00000273079","Neuronal",0.998,0.371,2.80125467523274,0.974,0.948,0,0
"159","GRIN3A",116443,"ENSG00000198785","Neuronal",0.612,0.225,3.424725635649,0.743,0.486,0,0
"160","GRIP1",23426,"ENSG00000155974","Neuronal",0.969,0.592,2.96671744322562,0.911,0.822,0,0
"161","GRIP2",80852,"ENSG00000144596","Neuronal",0.407,0.105,2.94253739383089,0.665,0.33,0,0
"162","GRM1",2911,"ENSG00000152822","Neuronal",0.776,0.336,2.8994599657183,0.812,0.624,0,0
"163","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.347,3.33129764702805,0.789,0.578,0,0
"164","GULP1",51454,"ENSG00000144366","Neuronal",0.538,0.179,2.60701288653988,0.709,0.418,0,0
"165","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.146,3.3788032176292,0.621,0.242,1.15487844715391e-319,5.80684432013459e-315
"166","HCN1",348980,"ENSG00000164588","Neuronal",0.989,0.53,4.03032276773187,0.978,0.956,0,0
"167","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.044,3.64060729414227,0.692,0.384,0,0
"168","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.33,3.33404996907004,0.578,0.156,1.94727227213234e-227,9.79107971150862e-223
"169","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.178,2.73970214024958,0.639,0.278,1.52761451407127e-278,7.68099853820176e-274
"170","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.271,3.08831197733328,0.63,0.26,4.09802255877376e-318,2.06052672277703e-313
"171","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.878,2.70277552381598,0.767,0.534,0,0
"172","HS3ST2",9956,"ENSG00000122254","Neuronal",0.494,0.164,2.61276767483379,0.692,0.384,0,0
"173","HTR1E",3354,"ENSG00000168830","Neuronal",0.72,0.089,4.50928213092412,0.844,0.688,0,0
"174","HTR2C",3358,"ENSG00000147246","Neuronal",0.437,0.33,2.59294567905877,0.555,0.11,1.02211168975509e-68,5.13927978725755e-64
"175","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.214,3.18042670512055,0.598,0.196,1.33180652155983e-186,6.69645637105497e-182
"176","IL1RAPL2",26280,"ENSG00000189108","Neuronal",0.891,0.764,3.5490465363709,0.679,0.358,0,0
"177","INPP5D",3635,"ENSG00000168918, ENSG00000281614","Non-neuronal",0.444,0.293,4.14814362179972,0.605,0.21,8.80496772930157e-185,4.42722582397012e-180
"178","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.29,3.45518037755083,0.57,0.14,5.88044494001665e-121,2.95674652028977e-116
"179","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.449,2.6235186725604,0.577,0.154,7.76756179284089e-64,3.90560774505833e-59
"180","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.15,3.37421492206412,0.693,0.386,0,0
"181","JPH1",56704,"ENSG00000104369","Neuronal",0.69,0.148,2.62257630697485,0.807,0.614,0,0
"182","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.585,3.4931070965285,0.821,0.642,0,0
"183","KAT2B",8850,"ENSG00000114166","Non-neuronal",0.75,0.496,2.51507376546537,0.74,0.48,0,0
"184","KCNA3",3738,"ENSG00000177272","Neuronal",0.559,0.034,2.72776390962401,0.767,0.534,0,0
"185","KCNB2",9312,"ENSG00000182674","Neuronal",0.926,0.341,3.67344321599372,0.931,0.862,0,0
"186","KCNC2",3747,"ENSG00000166006","Neuronal",0.949,0.245,4.19624657346738,0.957,0.914,0,0
"187","KCNH7",90134,"ENSG00000184611","Neuronal",0.93,0.269,4.29626775132923,0.943,0.886,0,0
"188","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.443,3.98100098858023,0.744,0.488,0,0
"189","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.025,4.74448910836051,0.713,0.426,0,0
"190","KCNJ3",3760,"ENSG00000162989","Neuronal",0.981,0.224,3.07440090724775,0.969,0.938,0,0
"191","KCNQ5",56479,"ENSG00000185760","Neuronal",0.957,0.489,4.51411707369888,0.944,0.888,0,0
"192","KCNT1",57582,"ENSG00000107147","Neuronal",0.712,0.052,2.61561495492475,0.843,0.686,0,0
"193","KHDRBS2",202559,"ENSG00000112232","Neuronal",0.987,0.571,2.79056277542985,0.95,0.9,0,0
"194","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.063,4.64546148050555,0.73,0.46,0,0
"195","KLHL29",114818,"ENSG00000119771","Neuronal",0.839,0.214,2.51931497639333,0.88,0.76,0,0
"196","KRT222",125113,"ENSG00000213424","Neuronal",0.623,0.04,2.59449859410878,0.799,0.598,0,0
"197","LAMA1",284217,"ENSG00000101680","Non-neuronal",0.531,0.376,3.09250690124692,0.627,0.254,1.48583999222135e-206,7.47095206488817e-202
"198","LDB3",11155,"ENSG00000122367","Non-neuronal",0.464,0.258,3.31273147187372,0.638,0.276,1.89567516568325e-312,9.53164430057197e-308
"199","LINC00599",157627,NA,"Neuronal",0.971,0.08,2.7827080837459,0.962,0.924,0,0
"200","LINC00609",101101773,NA,"Non-neuronal",0.496,0.214,3.65800316594906,0.676,0.352,0,0
"201","LINC00639",283547,NA,"Non-neuronal",0.437,0.179,4.45665481308387,0.659,0.318,0,0
"202","LINC00710",254312,NA,"Neuronal",0.497,0.037,2.57470274990661,0.734,0.468,0,0
"203","LINC01170",103724389,NA,"Non-neuronal",0.584,0.393,3.62639111575707,0.665,0.33,0,0
"204","LINC01202",104326188,NA,"Neuronal",0.4,0.165,2.79282643905138,0.636,0.272,0,0
"205","LINC01250",101927554,NA,"Neuronal",0.81,0.217,3.82399816789498,0.87,0.74,0,0
"206","LINC01378",103689918,NA,"Neuronal",0.606,0.268,4.22090101923324,0.717,0.434,0,0
"207","LINC01411",101928176,NA,"Non-neuronal",0.43,0.289,2.83656844993132,0.603,0.206,2.86465067521524e-194,1.44037500600498e-189
"208","LINC01470",101927134,NA,"Non-neuronal",0.701,0.66,2.57671498399901,0.6,0.2,2.58103812577208e-160,1.29777178001946e-155
"209","LINCR.0002",NA,NA,"Neuronal",0.398,0.147,3.11061898426634,0.643,0.286,0,0
"210","LINCR.0003",NA,NA,"Neuronal",0.423,0.088,2.87654987857851,0.68,0.36,0,0
"211","LINGO2",158038,"ENSG00000174482","Neuronal",0.972,0.658,4.79753438315115,0.93,0.86,0,0
"212","LITAF",9516,"ENSG00000189067","Non-neuronal",0.497,0.363,2.9941098183444,0.613,0.226,7.70612327201423e-200,3.87471584240148e-195
"213","LOC100132813",100132813,NA,"Neuronal",0.381,0.012,2.55685268462762,0.685,0.37,0,0
"214","LOC100132891",100132891,NA,"Neuronal",0.492,0.182,2.90455437137256,0.68,0.36,0,0
"215","LOC100420794",100420794,NA,"Neuronal",0.49,0.007,2.58604202127648,0.743,0.486,0,0
"216","LOC100506393",100506393,NA,"Neuronal",0.653,0.126,3.30891799712353,0.795,0.59,0,0
"217","LOC100507336",100507336,NA,"Non-neuronal",0.39,0.168,4.36059254131787,0.633,0.266,1.66549529213084e-320,8.37427687836309e-316
"218","LOC100507387",100507387,NA,"Neuronal",0.624,0.02,2.85489937569053,0.806,0.612,0,0
"219","LOC101926964",101926964,NA,"Non-neuronal",0.436,0.294,2.87063607557616,0.603,0.206,6.44349154089416e-193,3.23985198167699e-188
"220","LOC101927437",101927437,NA,"Non-neuronal",0.37,0.149,4.23766946070023,0.63,0.26,0,0
"221","LOC101927459",101927459,NA,"Non-neuronal",0.448,0.136,4.80993139090043,0.678,0.356,0,0
"222","LOC101927885",101927885,NA,"Neuronal",0.781,0.039,2.88507270579026,0.876,0.752,0,0
"223","LOC101927967",101927967,NA,"Non-neuronal",0.631,0.47,4.5102346991972,0.661,0.322,0,0
"224","LOC101928322",101928322,NA,"Neuronal",0.383,0.065,2.68913038575672,0.668,0.336,0,0
"225","LOC101929249",101929249,NA,"Non-neuronal",0.434,0.006,4.9960042717641,0.715,0.43,0,0
"226","LOC101929544",101929544,NA,"Neuronal",0.553,0.074,3.34488524385424,0.755,0.51,0,0
"227","LOC101929617",101929617,NA,"Neuronal",0.385,0.008,2.58466345761776,0.689,0.378,0,0
"228","LOC102723658",102723658,NA,"Neuronal",0.385,0.049,2.6704317869984,0.674,0.348,0,0
"229","LOC105369345",105369345,NA,"Non-neuronal",0.808,0.287,3.05655673895213,0.844,0.688,0,0
"230","LOC105369862",105369862,NA,"Neuronal",0.583,0.004,3.2237399762407,0.79,0.58,0,0
"231","LOC105370302",105370302,NA,"Neuronal",0.433,0.179,2.62991514789235,0.649,0.298,0,0
"232","LOC105370359",105370359,NA,"Non-neuronal",0.401,0.384,2.59092883896721,0.518,0.036,2.48676756481206e-14,1.25037159926315e-09
"233","LOC105370731",105370731,NA,"Neuronal",0.387,0.178,2.54676768997246,0.62,0.24,3.08221768787134e-246,1.54976987563859e-241
"234","LOC105371255",105371255,NA,"Non-neuronal",0.353,0.072,2.84854657647683,0.646,0.292,1.03614955825902e-312,5.20986359388217e-308
"235","LOC105371308",105371308,NA,"Neuronal",0.483,0.317,2.79860592216146,0.602,0.204,8.97259783552857e-185,4.51151191768212e-180
"236","LOC105371639",105371639,NA,"Neuronal",0.397,0.023,2.92167963565843,0.69,0.38,0,0
"237","LOC105371671",105371671,NA,"Neuronal",0.359,0.141,2.58066861699705,0.621,0.242,4.02830070041228e-256,2.0254698751743e-251
"238","LOC105371832",105371832,NA,"Neuronal",0.695,0.28,4.18790681442505,0.773,0.546,0,0
"239","LOC105372079",105372079,NA,"Neuronal",0.516,0.038,3.58261589595764,0.747,0.494,0,0
"240","LOC105373153",105373153,NA,"Neuronal",0.658,0.22,3.1762199889653,0.773,0.546,0,0
"241","LOC105373893",105373893,NA,"Neuronal",0.63,0.292,3.64659475216832,0.729,0.458,0,0
"242","LOC105373895",105373895,NA,"Neuronal",0.467,0.174,2.8123938758933,0.676,0.352,0,0
"243","LOC105373896",105373896,NA,"Neuronal",0.476,0.065,3.56176673957521,0.718,0.436,0,0
"244","LOC105374214",105374214,NA,"Non-neuronal",0.71,0.625,2.50725292348632,0.627,0.254,1.51540819631023e-171,7.61962395186748e-167
"245","LOC105374971",105374971,NA,"Neuronal",0.397,0.266,3.25566837154673,0.576,0.152,8.73160356069025e-131,4.39033758635066e-126
"246","LOC105375483",105375483,NA,"Non-neuronal",0.476,0.282,3.98053952308741,0.634,0.268,2.03236537349959e-250,1.02189363344933e-245
"247","LOC105375629",105375629,NA,"Neuronal",0.596,0.098,2.99877208723583,0.769,0.538,0,0
"248","LOC105375931",105375931,NA,"Neuronal",0.424,0.231,2.59206833783074,0.616,0.232,9.43783418038741e-247,4.7454374042406e-242
"249","LOC105376387",105376387,NA,"Non-neuronal",0.517,0.343,2.97218283535519,0.635,0.27,3.37809746758711e-267,1.69854118767747e-262
"250","LOC105376405",105376405,NA,"Neuronal",0.503,0.018,2.93850978299878,0.744,0.488,0,0
"251","LOC105376407",105376407,NA,"Neuronal",0.642,0.119,3.2563627422015,0.791,0.582,0,0
"252","LOC105376423",105376423,NA,"Neuronal",0.503,0.002,2.90804521653755,0.751,0.502,0,0
"253","LOC105377632",105377632,NA,"Non-neuronal",0.635,0.52,2.93694576058266,0.638,0.276,5.58750819797876e-269,2.8094549970257e-264
"254","LOC105377703",105377703,NA,"Neuronal",0.401,0.259,2.51557395839101,0.585,0.17,5.57099730303275e-163,2.8011531539379e-158
"255","LOC105378305",105378305,NA,"Non-neuronal",0.413,0.334,4.72788297260188,0.573,0.146,2.42443340773438e-161,1.21902936174292e-156
"256","LOC284930",284930,NA,"Neuronal",0.436,0.296,2.68513352218843,0.592,0.184,9.56677813920504e-214,4.81027171617369e-209
"257","LOC440040",440040,NA,"Neuronal",0.935,0.404,3.68991572858716,0.925,0.85,0,0
"258","LOC643962",643962,NA,"Neuronal",0.711,0.438,2.64436668869966,0.692,0.384,0,0
"259","LOC730076",730076,NA,"Neuronal",0.434,0.027,2.58111636182669,0.708,0.416,0,0
"260","LPAR1",1902,"ENSG00000198121","Non-neuronal",0.581,0.176,3.87869256751262,0.739,0.478,0,0
"261","LRP2",4036,"ENSG00000081479","Non-neuronal",0.473,0.357,2.97680313488809,0.6,0.2,1.18317073300483e-207,5.94910076262161e-203
"262","LRP4",4038,"ENSG00000134569","Non-neuronal",0.5,0.121,4.22157383517379,0.713,0.426,0,0
"263","LY86.AS1",NA,NA,"Neuronal",0.632,0.189,3.31588921321614,0.764,0.528,0,0
"264","LYN",4067,"ENSG00000254087","Non-neuronal",0.526,0.337,3.89771293711061,0.646,0.292,1.81901654037502e-298,9.14619706665962e-294
"265","LYPD8",646627,"ENSG00000259823","Neuronal",0.366,0.044,2.72626612737274,0.667,0.334,0,0
"266","MAG",4099,"ENSG00000105695","Non-neuronal",0.413,0.103,4.69804062907727,0.673,0.346,0,0
"267","MAL",4118,"ENSG00000172005","Non-neuronal",0.427,0.054,4.62758422341378,0.695,0.39,0,0
"268","MAML2",84441,"ENSG00000184384","Non-neuronal",0.876,0.457,3.53995029853241,0.867,0.734,0,0
"269","MARCH11",441061,"ENSG00000183654","Neuronal",0.573,0.073,2.93328735516599,0.766,0.532,0,0
"270","MARCH4",57574,"ENSG00000144583","Neuronal",0.721,0.171,3.14032514112943,0.825,0.65,0,0
"271","MBP",4155,"ENSG00000197971","Non-neuronal",0.713,0.555,3.87455380171241,0.697,0.394,0,0
"272","MCHR2",84539,"ENSG00000152034","Neuronal",0.564,0.177,3.30640245690651,0.724,0.448,0,0
"273","MECOM",2122,"ENSG00000085276","Non-neuronal",0.391,0.37,3.57483705735144,0.537,0.0740000000000001,2.01189804931659e-60,1.01160245817687e-55
"274","MEG3",55384,NA,"Neuronal",1,0.47,3.05972941629282,0.99,0.98,0,0
"275","MEGF10",84466,"ENSG00000145794","Non-neuronal",0.629,0.267,3.1499948952846,0.737,0.474,0,0
"276","MEIS1",4211,"ENSG00000143995","Non-neuronal",0.459,0.408,3.27999833828282,0.592,0.184,0,0
"277","MERTK",10461,"ENSG00000153208","Non-neuronal",0.537,0.357,3.18239849236929,0.642,0.284,9.14472173633649e-303,4.59805753624735e-298
"278","MIR124.2HG",NA,NA,"Neuronal",0.938,0.097,3.0466163945713,0.947,0.894,0,0
"279","MIR137HG",400765,NA,"Neuronal",0.82,0.072,4.61969334249773,0.9,0.8,0,0
"280","MIR4500HG",642345,NA,"Neuronal",0.676,0.167,3.22996451795252,0.797,0.594,0,0
"281","MLIP",90523,"ENSG00000146147","Neuronal",0.726,0.209,3.84041531729616,0.82,0.64,0,0
"282","MMD2",221938,"ENSG00000136297","Non-neuronal",0.643,0.572,2.50723376094133,0.612,0.224,1.34224478673104e-219,6.74894101216232e-215
"283","MOBP",4336,"ENSG00000168314","Non-neuronal",0.524,0.253,4.23713146581496,0.676,0.352,0,0
"284","MOG",4340,"ENSG00000204655, ENSG00000236561, ENSG00000137345, ENSG00000237834, ENSG00000234096, ENSG00000230885, ENSG00000234623, ENSG00000232641","Non-neuronal",0.473,0.068,5.69067589735392,0.716,0.432,0,0
"285","MTUS2",23281,"ENSG00000132938","Neuronal",0.976,0.674,3.09529381093247,0.943,0.886,0,0
"286","MYO10",4651,"ENSG00000145555","Non-neuronal",0.914,0.847,2.75981389522163,0.732,0.464,0,0
"287","MYO15B",80022,"ENSG00000266714","Non-neuronal",0.489,0.159,3.86187778466482,0.694,0.388,0,0
"288","MYO1E",4643,"ENSG00000157483","Non-neuronal",0.694,0.496,3.03362300232828,0.691,0.382,0,0
"289","MYRF",745,"ENSG00000124920","Non-neuronal",0.423,0.058,4.67386630063837,0.692,0.384,0,0
"290","NCKAP5",344148,"ENSG00000176771","Non-neuronal",0.958,0.711,3.50226433823394,0.919,0.838,0,0
"291","NDE1",54820,"ENSG00000275911, ENSG00000072864","Non-neuronal",0.481,0.325,2.85270255771658,0.616,0.232,6.92589337378763e-203,3.48240844727416e-198
"292","NDRG2",57447,"ENSG00000165795","Non-neuronal",0.591,0.133,3.76620416078275,0.757,0.514,0,0
"293","NDST3",9348,"ENSG00000164100","Neuronal",0.786,0.245,2.66121743275508,0.837,0.674,0,0
