"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Non-neuronal",0.42,0.513,2.13494727182586,0.497,0.00600000000000001,3.93603870371923e-226,1.97907962061707e-221
"2","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.161,3.46925879268207,0.733,0.466,0,0
"3","ABCA2",20,"ENSG00000107331","Non-neuronal",0.513,0.615,2.25616083078609,0.556,0.112,0,0
"4","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.164,4.93722613922784,0.676,0.352,0,0
"5","ABCC4",10257,"ENSG00000125257","Non-neuronal",0.644,0.687,2.3395984772559,0.535,0.0700000000000001,2.67071652173031e-160,1.34286297429122e-155
"6","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.504,3.1831716952437,0.53,0.0600000000000001,1.40545144523776e-271,7.06675041179998e-267
"7","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.43,3.20518094251202,0.636,0.272,0,0
"8","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.454,2.96937839013649,0.645,0.29,0,0
"9","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.247,3.76896649320319,0.603,0.206,0,0
"10","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.073,4.18020509187602,0.686,0.372,0,0
"11","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.307,2.83055539721978,0.555,0.11,0,0
"12","ADAMTS3",9508,"ENSG00000156140","Glutamatergic",0.773,0.349,3.15820003851985,0.803,0.606,0,0
"13","ADARB2",105,"ENSG00000185736","GABAergic",0.853,0.667,3.53129003063827,0.781,0.562,0,0
"14","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.198,2.88911978921486,0.649,0.298,0,0
"15","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.84,3.08053559036686,0.465,0.07,1.76004543339051e-303,8.8496844436308e-299
"16","ADRA1A",148,"ENSG00000120907","GABAergic",0.691,0.231,2.00465122388427,0.775,0.55,0,0
"17","ADTRP",84830,"ENSG00000111863","Glutamatergic",0.364,0.045,2.63712303970093,0.665,0.33,0,0
"18","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.511,2.60405754233285,0.581,0.162,0,0
"19","ALK",238,"ENSG00000171094","GABAergic",0.866,0.656,2.19318556069108,0.784,0.568,0,0
"20","AMER2",219287,"ENSG00000165566","Non-neuronal",0.518,0.414,2.15846242790211,0.617,0.234,0,0
"21","ANK1",286,"ENSG00000029534","GABAergic",0.848,0.418,2.82269519675016,0.851,0.702,0,0
"22","ANKRD33B",651746,"ENSG00000164236","Glutamatergic",0.894,0.314,2.32293300709132,0.888,0.776,0,0
"23","ANKRD55",79722,"ENSG00000164512","GABAergic",0.82,0.497,2.59521946404364,0.8,0.6,0,0
"24","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.179,3.35925140858235,0.633,0.266,0,0
"25","ANO1",55107,"ENSG00000131620","GABAergic",0.48,0.241,2.68749789818901,0.653,0.306,0,0
"26","ANO3",63982,"ENSG00000134343","Glutamatergic",0.955,0.475,3.215560633777,0.937,0.874,0,0
"27","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.509,2.71306257424204,0.526,0.052,1.75737879863249e-212,8.83627633740403e-208
"28","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.327,4.98641896207362,0.595,0.19,0,0
"29","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.043,3.96423879603125,0.669,0.338,0,0
"30","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.262,3.93750540717885,0.704,0.408,0,0
"31","APOLD1",81575,"ENSG00000178878","Non-neuronal",0.421,0.41,2.11980719628149,0.54,0.0800000000000001,2.7206787325562e-241,1.36798447351659e-236
"32","ARHGAP15",55843,"ENSG00000075884","Non-neuronal",0.431,0.45,2.00704056009989,0.522,0.044,1.287933043748e-128,6.47585613726932e-124
"33","ARHGAP22",58504,"ENSG00000128805","Non-neuronal",0.556,0.592,2.22740297313301,0.567,0.134,0,0
"34","ARHGAP23",57636,"ENSG00000273780, ENSG00000275832","Non-neuronal",0.66,0.593,2.0968709350902,0.614,0.228,0,0
"35","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.863,3.37299425411826,0.594,0.188,0,0
"36","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.17,3.00144537953969,0.658,0.316,0,0
"37","ARHGEF10",9639,"ENSG00000274726, ENSG00000104728","Non-neuronal",0.646,0.502,2.09670311004626,0.657,0.314,0,0
"38","ARHGEF26",26084,"ENSG00000277101, ENSG00000114790","Non-neuronal",0.359,0.346,2.12276601432225,0.537,0.0740000000000001,2.46076018195105e-279,1.23729482708681e-274
"39","ARL4C",10123,"ENSG00000188042","GABAergic",0.833,0.24,2.53937491034623,0.86,0.72,0,0
"40","ARX",170302,"ENSG00000004848","GABAergic",0.516,0.021,2.77226228038913,0.75,0.5,0,0
"41","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.642,3.2727868371561,0.718,0.436,0,0
"42","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.334,3.32674832592999,0.652,0.304,0,0
"43","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.187,4.08082312719781,0.649,0.298,0,0
"44","AXL",558,"ENSG00000167601","Non-neuronal",0.533,0.42,2.46784253899901,0.614,0.228,0,0
"45","B2M",567,"ENSG00000273686, ENSG00000166710","Non-neuronal",0.61,0.35,2.2132490946964,0.678,0.356,0,0
"46","BCAN",63827,"ENSG00000132692","Non-neuronal",0.37,0.389,2.15465225199697,0.536,0.0720000000000001,0,0
"47","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.222,4.87349387711285,0.769,0.538,0,0
"48","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.394,3.01826578890807,0.637,0.274,0,0
"49","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.2,2.89760976855958,0.622,0.244,0,0
"50","BMPR1B",658,"ENSG00000138696","Non-neuronal",0.694,0.661,2.39844597337924,0.64,0.28,0,0
"51","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.554,3.85362623488262,0.599,0.198,0,0
"52","BTBD11",121551,"ENSG00000151136","GABAergic",0.868,0.447,3.69989194948582,0.871,0.742,0,0
"53","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.806,2.94857176978362,0.649,0.298,0,0
"54","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.253,4.44856134182678,0.752,0.504,0,0
"55","C12orf56",115749,"ENSG00000185306","Non-neuronal",0.531,0.522,2.09527867773082,0.56,0.12,3.55793042129246e-256,1.78896299513006e-251
"56","C1orf115",79762,"ENSG00000162817","Glutamatergic",0.574,0.056,2.03266889384221,0.763,0.526,0,0
"57","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.278,4.61146352517268,0.583,0.166,0,0
"58","C4orf22",255119,"ENSG00000197826","Glutamatergic",0.814,0.526,2.249403341626,0.747,0.494,0,0
"59","CA2",760,"ENSG00000104267","Non-neuronal",0.459,0.187,2.6579996253505,0.661,0.322,0,0
"60","CADPS2",93664,"ENSG00000081803","Glutamatergic",0.948,0.601,2.41001580454899,0.898,0.796,0,0
"61","CAPN3",825,"ENSG00000092529","Non-neuronal",0.47,0.268,3.30656571772955,0.643,0.286,0,0
"62","CARD11",84433,"ENSG00000198286","Non-neuronal",0.478,0.499,2.46287857012064,0.539,0.0780000000000001,1.18182621844035e-231,5.94234040893993e-227
"63","CARNS1",57571,"ENSG00000172508","Non-neuronal",0.428,0.084,4.73412121888346,0.687,0.374,0,0
"64","CBLN2",147381,"ENSG00000141668","Glutamatergic",0.735,0.219,2.97892941230567,0.812,0.624,0,0
"65","CCDC144NL",339184,"ENSG00000205212","Glutamatergic",0.521,0.111,2.35108020339876,0.722,0.444,0,0
"66","CD22",933,"ENSG00000012124","Non-neuronal",0.401,0.14,4.06967320460382,0.655,0.31,0,0
"67","CD38",952,"ENSG00000004468","Non-neuronal",0.378,0.353,2.92087958064793,0.548,0.0960000000000001,0,0
"68","CD9",928,"ENSG00000010278","Non-neuronal",0.453,0.132,4.81453079778336,0.686,0.372,0,0
"69","CDC14A",8556,"ENSG00000079335","Non-neuronal",0.426,0.232,3.34244388019276,0.632,0.264,0,0
"70","CDH1",999,"ENSG00000039068","Non-neuronal",0.471,0.462,2.75728423068131,0.56,0.12,0,0
"71","CDH20",28316,"ENSG00000101542","Non-neuronal",0.834,0.593,2.39692226372519,0.8,0.6,0,0
"72","CDH22",64405,"ENSG00000149654","Glutamatergic",0.719,0.229,2.08000484595515,0.788,0.576,0,0
"73","CDH23",64072,"ENSG00000107736","Non-neuronal",0.389,0.328,2.6280039764771,0.563,0.126,7.33726842029834e-302,3.68925193441021e-297
"74","CDK18",5129,"ENSG00000117266","Non-neuronal",0.489,0.318,2.9979194418992,0.636,0.272,0,0
"75","CECR1",51816,"ENSG00000093072","Non-neuronal",0.34,0.37,2.11023744281277,0.512,0.024,1.01036918371449e-203,5.08023729263484e-199
"76","CECR2",27443,"ENSG00000099954","Non-neuronal",0.835,0.754,3.29320429373989,0.741,0.482,0,0
"77","CERCAM",51148,"ENSG00000167123","Non-neuronal",0.576,0.255,4.74664256211681,0.717,0.434,0,0
"78","CHD7",55636,"ENSG00000171316","Non-neuronal",0.619,0.217,3.19776500575033,0.749,0.498,0,0
"79","CHRNA7",1139,"ENSG00000274542, ENSG00000282088, ENSG00000175344","GABAergic",0.59,0.439,2.123912156681,0.62,0.24,0,0
"80","CHST11",50515,"ENSG00000171310","Non-neuronal",0.683,0.734,2.0060717107366,0.576,0.152,1.96961245977196e-318,9.90340840897941e-314
"81","CLDN10",9071,"ENSG00000134873","Non-neuronal",0.397,0.366,2.65709412874816,0.554,0.108,0,0
"82","CLDN11",5010,"ENSG00000013297","Non-neuronal",0.553,0.312,4.1639290101097,0.685,0.37,0,0
"83","CLDND1",56650,"ENSG00000080822","Non-neuronal",0.509,0.57,2.46209554301482,0.561,0.122,0,0
"84","CLIC4",25932,"ENSG00000169504","Non-neuronal",0.625,0.466,3.43521413637375,0.674,0.348,0,0
"85","CLMN",79789,"ENSG00000165959","Non-neuronal",0.544,0.288,3.32177435959569,0.681,0.362,0,0
"86","CNDP1",84735,"ENSG00000150656","Non-neuronal",0.533,0.236,5.36725461026125,0.7,0.4,0,0
"87","CNGB1",1258,"ENSG00000070729","Glutamatergic",0.473,0.371,2.02523341555943,0.582,0.164,0,0
"88","CNKSR3",154043,"ENSG00000153721","Non-neuronal",0.494,0.401,2.54580553357491,0.595,0.19,0,0
"89","CNR1",1268,"ENSG00000118432","GABAergic",0.688,0.51,2.21746563512731,0.666,0.332,0,0
"90","CNTN2",6900,"ENSG00000184144","Non-neuronal",0.457,0.412,2.69758473673653,0.588,0.176,0,0
"91","COL24A1",255631,"ENSG00000171502","Glutamatergic",0.913,0.652,2.8951672839394,0.819,0.638,0,0
"92","COL25A1",84570,"ENSG00000188517","GABAergic",0.742,0.627,2.3393330548332,0.652,0.304,0,0
"93","COL4A5",1287,"ENSG00000188153","Non-neuronal",0.635,0.393,5.22186672237834,0.725,0.45,0,0
"94","COL5A3",50509,"ENSG00000080573","Non-neuronal",0.47,0.495,2.96636227463126,0.544,0.0880000000000001,0,0
"95","COL9A2",1298,"ENSG00000049089","Non-neuronal",0.493,0.048,4.84601351048781,0.733,0.466,0,0
"96","COLEC12",81035,"ENSG00000158270","Non-neuronal",0.372,0.31,3.15065536214717,0.565,0.13,0,0
"97","CPM",1368,"ENSG00000135678","Non-neuronal",0.532,0.337,3.92626377124462,0.663,0.326,0,0
"98","CPNE2",221184,"ENSG00000140848","Non-neuronal",0.374,0.246,2.04116612946883,0.587,0.174,4.63178323401803e-291,2.32890692789661e-286
"99","CPNE4",131034,"ENSG00000196353","Glutamatergic",0.936,0.566,2.80499211712325,0.887,0.774,0,0
"100","CPQ",10404,"ENSG00000104324","Non-neuronal",0.596,0.497,2.09123227722545,0.622,0.244,0,0
"101","CREB3L2",64764,"ENSG00000182158","Non-neuronal",0.434,0.354,2.17498137468322,0.574,0.148,1.94998156517452e-253,9.80470230785403e-249
"102","CREB5",9586,"ENSG00000146592","Non-neuronal",0.801,0.722,2.51096042514401,0.687,0.374,0,0
"103","CRYAB",1410,"ENSG00000109846","Non-neuronal",0.491,0.246,3.32642768454253,0.664,0.328,0,0
"104","CSF1R",1436,"ENSG00000182578","Non-neuronal",0.38,0.238,4.0305044806115,0.594,0.188,0,0
"105","CSRP1",1465,"ENSG00000159176","Non-neuronal",0.43,0.117,3.60558790867683,0.674,0.348,0,0
"106","CST3",1471,"ENSG00000101439","Non-neuronal",0.499,0.256,3.2386802299113,0.669,0.338,0,0
"107","CTNNA3",29119,"ENSG00000183230","Non-neuronal",0.952,0.98,2.75090645424325,0.589,0.178,0,0
"108","CUEDC1",404093,"ENSG00000180891","Non-neuronal",0.616,0.452,2.68586584799117,0.662,0.324,0,0
"109","CXCL14",9547,"ENSG00000145824","GABAergic",0.598,0.197,4.81897442705185,0.748,0.496,0,0
"110","CYP27A1",1593,"ENSG00000135929","Non-neuronal",0.413,0.202,3.00260907866861,0.632,0.264,0,0
"111","DAAM2",23500,"ENSG00000146122","Non-neuronal",0.597,0.164,4.26790931385889,0.756,0.512,0,0
"112","DDR1",780,"ENSG00000229767, ENSG00000223680, ENSG00000234078, ENSG00000137332, ENSG00000215522, ENSG00000230456, ENSG00000204580","Non-neuronal",0.395,0.15,2.32695482564027,0.639,0.278,0,0
"113","DFNB31",25861,"ENSG00000095397","Non-neuronal",0.44,0.261,2.18088952096573,0.614,0.228,0,0
"114","DLGAP1.AS4",NA,"NA","Glutamatergic",0.87,0.09,3.0556302047619,0.921,0.842,0,0
"115","DLX1",1745,"ENSG00000144355","GABAergic",0.564,0.012,3.81799044725498,0.779,0.558,0,0
"116","DLX6.AS1",NA,"NA","GABAergic",0.837,0.055,5.21970520811654,0.913,0.826,0,0
"117","DNAH11",8701,"ENSG00000105877","Non-neuronal",0.561,0.422,2.16436334622256,0.631,0.262,3.62329287202956e-311,1.82182788898518e-306
"118","DNAJC5G",285126,"ENSG00000163793","Glutamatergic",0.434,0.045,2.08365818872012,0.701,0.402,0,0
"119","DOCK1",1793,"ENSG00000150760","Non-neuronal",0.843,0.514,4.36859775430045,0.849,0.698,0,0
"120","DOCK10",55619,"ENSG00000135905","Non-neuronal",0.824,0.594,2.03960525686872,0.772,0.544,0,0
"121","DOCK2",1794,"ENSG00000134516","Non-neuronal",0.486,0.443,3.3162155854811,0.57,0.14,0,0
"122","DOCK5",80005,"ENSG00000147459","Non-neuronal",0.783,0.491,4.97296169357094,0.805,0.61,0,0
"123","DOCK8",81704,"ENSG00000107099","Non-neuronal",0.441,0.378,4.91586960219429,0.581,0.162,0,0
"124","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.349,3.07668818167068,0.585,0.17,5.70369903581996e-180,2.86787691220064e-175
"125","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.362,3.30221673085856,0.649,0.298,0,0
"126","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.437,2.63565778034759,0.615,0.23,0,0
"127","ELFN1",392617,"ENSG00000225968","GABAergic",0.434,0.207,2.16418949947145,0.638,0.276,0,0
"128","ELN",2006,"ENSG00000049540","Non-neuronal",0.454,0.371,2.18259276698169,0.585,0.17,0,0
"129","EMC10",284361,"ENSG00000161671","Non-neuronal",0.478,0.466,2.22592571533804,0.551,0.102,0,0
"130","EMID1",129080,"ENSG00000186998","Non-neuronal",0.412,0.322,2.10796488365814,0.581,0.162,0,0
"131","ENC1",8507,"ENSG00000171617","Glutamatergic",0.949,0.281,2.1153619551166,0.914,0.828,0,0
"132","ENOSF1",55556,"ENSG00000132199","Non-neuronal",0.494,0.254,2.65809718533153,0.657,0.314,0,0
"133","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.327,4.24481134011255,0.697,0.394,0,0
"134","ENTPD3",956,"ENSG00000168032","GABAergic",0.707,0.253,2.24594142824593,0.773,0.546,0,0
"135","EPN2",22905,"ENSG00000072134","Non-neuronal",0.761,0.796,2.03321833084591,0.649,0.298,0,0
"136","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.176,4.03778572316737,0.663,0.326,0,0
"137","ERBB4",2066,"ENSG00000178568","GABAergic",0.984,0.88,2.7560784434155,0.917,0.834,0,0
"138","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.564,3.5108583027187,0.63,0.26,0,0
"139","EYA4",2070,"ENSG00000112319","GABAergic",0.409,0.284,2.28657855288754,0.587,0.174,0,0
"140","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.205,4.96495582495458,0.722,0.444,0,0
"141","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.536,3.74823643292885,0.705,0.41,0,0
"142","FAM124A",220108,"ENSG00000150510","Non-neuronal",0.383,0.325,2.15611779464159,0.563,0.126,4.94065645841247e-324,2.48421147385437e-319
"143","FAM19A1",407738,"ENSG00000183662","Glutamatergic",0.914,0.634,2.24407794745171,0.833,0.666,0,0
"144","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.364,2.80405357534774,0.647,0.294,0,0
"145","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.308,2.63198268138449,0.554,0.108,0,0
"146","FBN2",2201,"ENSG00000138829","GABAergic",0.404,0.3,2.89254205306446,0.574,0.148,0,0
"147","FBXL7",23194,"ENSG00000183580","Non-neuronal",0.845,0.588,2.13816691245781,0.81,0.62,0,0
"148","FCGR2A",2212,"ENSG00000143226","Non-neuronal",0.748,0.77,2.01805947040405,0.594,0.188,0,0
"149","FGD4",121512,"ENSG00000139132","Non-neuronal",0.802,0.84,2.04504734862512,0.598,0.196,0,0
"150","FGF13",2258,"ENSG00000129682","GABAergic",0.891,0.768,2.67223692990796,0.73,0.46,0,0
"151","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.402,3.06314127989147,0.741,0.482,0,0
"152","FHL2",2274,"ENSG00000115641","Glutamatergic",0.743,0.183,2.2658535131129,0.826,0.652,0,0
"153","FIRRE",286467,"ENSG00000213468","Non-neuronal",0.365,0.309,3.1143776973714,0.564,0.128,0,0
"154","FKBP5",2289,"ENSG00000096060","Non-neuronal",0.486,0.487,2.2024280707836,0.547,0.0940000000000001,4.92266234815623e-231,2.47516385527644e-226
"155","FLJ33534",285150,"NA","Glutamatergic",0.447,0.07,2.10032824889452,0.698,0.396,0,0
"156","FLT1",2321,"ENSG00000102755","Non-neuronal",0.529,0.526,2.41957987919068,0.546,0.0920000000000001,1.23628452030525e-40,6.21616219654684e-36
"157","FLT3",2322,"ENSG00000122025","GABAergic",0.55,0.433,2.42562403731358,0.604,0.208,0,0
"158","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.119,4.68588815361948,0.655,0.31,0,0
"159","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.341,2.81564800711098,0.68,0.36,0,0
"160","FREM1",158326,"ENSG00000164946","GABAergic",0.55,0.398,2.30827142748491,0.624,0.248,0,0
"161","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.695,3.2520921991688,0.76,0.52,0,0
"162","FSTL4",23105,"ENSG00000053108","Glutamatergic",0.964,0.516,2.90818538038394,0.931,0.862,0,0
"163","GAD1",2571,"ENSG00000128683","GABAergic",0.988,0.222,3.8616135710712,0.982,0.964,0,0
"164","GAD2",2572,"ENSG00000136750","GABAergic",0.91,0.206,5.10643710778446,0.942,0.884,0,0
"165","GALNT10",55568,"ENSG00000164574","Non-neuronal",0.512,0.422,2.10709023459739,0.592,0.184,9.97157554337596e-302,5.01380789896487e-297
"166","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.322,2.63563180946712,0.651,0.302,0,0
"167","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.335,2.7813086186438,0.615,0.23,0,0
"168","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.367,3.68961290026393,0.641,0.282,0,0
"169","GLTP",51228,"ENSG00000139433","Non-neuronal",0.382,0.366,2.0074133474594,0.538,0.0760000000000001,5.17256781718931e-259,2.60081882416096e-254
"170","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.193,3.61874769961439,0.758,0.516,0,0
"171","GNG7",2788,"ENSG00000176533","Non-neuronal",0.919,0.907,2.15623054528147,0.702,0.404,0,0
"172","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.198,3.66796397862071,0.776,0.552,0,0
"173","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.213,3.23571472919135,0.68,0.36,0,0
"174","GRIK1",2897,"ENSG00000171189","GABAergic",0.936,0.587,3.19634174895682,0.893,0.786,0,0
"175","GRIN3A",116443,"ENSG00000198785","GABAergic",0.779,0.397,2.3971431262982,0.79,0.58,0,0
"176","GRIP1",23426,"ENSG00000155974","GABAergic",0.998,0.872,2.38869749252198,0.957,0.914,0,0
"177","GRIP2",80852,"ENSG00000144596","GABAergic",0.873,0.162,3.97352831147271,0.918,0.836,0,0
"178","GRM2",2912,"ENSG00000164082","Glutamatergic",0.479,0.025,2.19263397688947,0.73,0.46,0,0
"179","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.413,3.2776375623372,0.776,0.552,0,0
"180","HAPLN1",1404,"ENSG00000145681","GABAergic",0.439,0.105,3.13520433429712,0.684,0.368,0,0
"181","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.185,3.35264645500348,0.607,0.214,0,0
"182","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.054,3.61540677863906,0.689,0.378,0,0
"183","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.466,3.1963766791769,0.528,0.056,0,0
"184","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.24,2.59757501930396,0.617,0.234,0,0
"185","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.333,3.23361576513495,0.614,0.228,0,0
"186","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.928,2.6559638150974,0.751,0.502,0,0
"187","HIP1R",9026,"ENSG00000130787","Non-neuronal",0.693,0.592,2.22367006663154,0.7,0.4,0,0
